Duolingo: language lessons	com.duolingo
DRAGON BALL Z DOKKAN BATTLE	com.bandainamcogames.dbzdokkanww
discovery+ | Stream TV Shows	com.discovery.discoveryplus.mobile
Citrix Workspace	com.citrix.Receiver
Roblox	com.roblox.client
Shadow Fight 3 - RPG fighting	com.nekki.shadowfight3
Evernote - Note Organizer	com.evernote
8 Ball Pool	com.miniclip.eightballpool
Messenger	com.facebook.orca
Messenger Kids – The Messaging	com.facebook.talk
Facebook	com.facebook.katana
Duolingo: language lessons	com.duolingo
Wish: Shop and Save	com.contextlogic.wish
Tubi - Movies & TV Shows	com.tubitv
Make Money: Play & Earn Cash	us.current.android
Free Fire	com.dts.freefireth
Gacha Life	air.com.lunime.gachalife
Roblox	com.roblox.client
YouTube Kids	com.google.android.apps.youtube.kids
Free Fire	com.dts.freefireth
Gacha Club	air.com.lunime.gachaclub
Messenger Kids – The Messaging	com.facebook.talk
Among Us!	com.innersloth.spacemafia
Gacha Life	air.com.lunime.gachalife
Tubi - Movies & TV Shows	com.tubitv
Google Classroom	com.google.android.apps.classroom
Candy Crush Soda Saga	com.king.candycrushsodasaga
Google Photos	com.google.android.apps.photos
Homescapes	com.playrix.homescapes
Hangouts	com.google.android.talk
June's Journey	net.wooga.junes_journey_hidden_object_mystery_game
Gmail	com.google.android.gm
YouTube Music	com.google.android.apps.youtube.music
Viki: Asian Dramas & Movies	com.viki.android
TikTok	com.zhiliaoapp.musically
Microsoft 365 (Office)	com.microsoft.office.officehubrow
Spectrum TV	com.TWCableTV
RAID: Shadow Legends	com.plarium.raidlegends
Libby, by OverDrive Labs	com.overdrive.mobile.android.libby
Google Docs	com.google.android.apps.docs.editors.docs
Pluto.tv	tv.pluto.android
Animal Jam	com.WildWorks.AnimalJamPlayWild
WEBTOON	com.naver.linewebtoon
PK XD	com.movile.playkids.pkxd
Funimation	com.Funimation.FunimationNow
CANAL+, Live and catch-up TV	com.canal.android.canal
PicsArt Photo Studio	com.picsart.studio
WhatsApp Business	com.whatsapp.w4b
BBC iPlayer	bbc.iplayer.android
Videoland	nl.rtl.videoland.v2
Ziggo GO	com.lgi.ziggotv
Duolingo: language lessons	com.duolingo
Farm Heroes Saga	com.king.farmheroessaga
LokiCraft	com.ua.building.Lokicraft
Toon Blast	net.peakgames.toonblast
Pokémon TCG Online	com.pokemon.pokemontcg
Asphalt 8: Airborne	com.gameloft.android.ANMP.GloftA8HM
8 Ball Pool	com.miniclip.eightballpool
Magic Jigsaw Puzzles	com.bandagames.mpuzzle.gp
Solar Smash	com.paradyme.solarsmash
Jackpot Party Casino	com.williamsinteractive.jackpotparty
Subway Surfers	com.kiloo.subwaysurf
Episode	com.episodeinteractive.android.catalog
Block Craft 3D	com.fungames.blockcraft
Solitaire - Classic Card Games	com.mobilityware.solitaire
